                                                                                                                                                                                             
{'loss': 36.7907, 'grad_norm': 0.5026237964630127, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 38.7297, 'grad_norm': 0.19107678532600403, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 25.09, 'grad_norm': 0.29693546891212463, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 34.313, 'grad_norm': 0.6089590191841125, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 37.0705, 'grad_norm': 1.3129442930221558, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 13.9991, 'grad_norm': 0.4917151927947998, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 11.5007, 'grad_norm': 0.5064989328384399, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 9.1859, 'grad_norm': 0.6697302460670471, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 31.2054, 'grad_norm': 0.21039748191833496, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 13.4702, 'grad_norm': 0.6080296039581299, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 19.2573, 'grad_norm': 0.6346380710601807, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 14.6661, 'grad_norm': 0.6069408655166626, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 16.7537, 'grad_norm': 0.2982606291770935, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 37.3408, 'grad_norm': 0.574508547782898, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 17.2395, 'grad_norm': 0.5029996037483215, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 14.9147, 'grad_norm': 0.5390492081642151, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 26.0876, 'grad_norm': 0.7848641276359558, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 42.6938, 'grad_norm': 0.5085139870643616, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 26.0722, 'grad_norm': 0.5737704634666443, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 14.0157, 'grad_norm': 0.5088985562324524, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 10.6711, 'grad_norm': 2.2424449920654297, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 24.3818, 'grad_norm': 0.3663039803504944, 'learning_rate': 2e-05, 'epoch': 0.07}
{'train_runtime': 14238.6136, 'train_samples_per_second': 0.421, 'train_steps_per_second': 0.105, 'train_loss': 26.685965616861978, 'epoch': 0.07}
